filename,plate_number,confidence,timestamp,owner,vehicle_status,db_match_type
image2.jpg,OCR_FAILED,0.0,2026-06-15 05:01:22,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:04:12,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:04:12,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:04:12,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:04:12,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:04:12,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:04:13,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:04:13,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:04:13,Unknown,N/A,None
a7sp8ji_high-security-number-plates_625x300_12_October_18.webp,OCR_FAILED,0.0,2026-06-15 05:06:21,Unknown,N/A,None
image2.jpg,OCR_FAILED,0.0,2026-06-15 05:53:26,Unknown,N/A,None
a7sp8ji_high-security-number-plates_625x300_12_October_18.webp,DL7CQ1939,0.0,2026-06-15 05:55:04,Unknown,N/A,None
a7sp8ji_high-security-number-plates_625x300_12_October_18.webp,DL7CQ1939,0.0,2026-06-15 05:56:01,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:56:30,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,PEELDLTD,0.0,2026-06-15 05:56:31,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:56:31,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:56:31,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:56:31,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:56:32,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:56:32,Unknown,N/A,None
Delhi_traffic_1655708813068_1676952707444_1676952707444.jpg,OCR_FAILED,0.0,2026-06-15 05:56:32,Unknown,N/A,None
a7sp8ji_high-security-number-plates_625x300_12_October_18.webp,DL7CQ1939,0.0,2026-06-15 05:56:51,Unknown,N/A,None
a7sp8ji_high-security-number-plates_625x300_12_October_18.webp,DL7CQ1939,0.0,2026-06-15 06:01:52,Unknown,N/A,None
a7sp8ji_high-security-number-plates_625x300_12_October_18.webp,DL7CQ1939,75.0,2026-06-15 06:04:32,Ghanish,Active,exact
